"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.38406194586811,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.9686629272503,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.04901845562402,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",1.419567553593,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",1.12093109138736,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.47808779077042,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.56468624683827,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.065306548124,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.91769701517789,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.51748478806068,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",7.86400129797347,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",9.85972504731887,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.7137688448598,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",9.5001977886519,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.52660510962764,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",5.55959783599992,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.57644471889995,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.26643549542492,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.85411147962492,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",3.44321489612498,
"AUT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.98255733349998,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.495285152658757,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.907732246623023,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.0244363743602891,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.447714029218754,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.333332316900389,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.813759987752779,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.39231806745795,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.30694279794512,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",6.36904277074183,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",9.08504687108906,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",9.95049493243218,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",10.987845611213,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",9.59364942438752,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",7.74906246949769,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.09679503853566,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",6.03137554100001,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",5.46837708679998,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.90726453875202,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",4.65896332090879,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",3.87376280635904,
"BEL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",3.05230165328388,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.0093884086996,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.969582140545713,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.167248997446747,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.454092443048354,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.278514791035443,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.00574496740613,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.09116316751736,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.96070909723882,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.20396556788175,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.72750429320687,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",6.98296453368076,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",8.15970895916978,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",8.1368006146662,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",7.0858348377139,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",5.52903952386129,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",4.43448762189554,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.05065932396414,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",3.60106064693007,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.17673323014068,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.92482603250955,
"FIN","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.62478971326677,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.27077889265369,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.31714900283456,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.333459370449032,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.359296334483191,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.0950502862473719,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.959319416246746,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.75908798846507,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.20219184177552,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.34232273477586,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.17620306380045,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",5.9188622062304,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",6.52515563638457,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",6.87373678242961,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",7.55799447358099,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",6.16313769177123,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",5.22358748164349,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.13506761114382,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",2.82192746238157,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",2.67553449102955,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.63979106843979,
"FRA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.69088105901635,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.22897838233002,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.512780304802,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.621725975934074,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.076433702295082,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.554928875338611,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.68730577092855,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.1090535639008,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.59798730406405,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.46716568331981,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",6.05417183465183,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",8.25527424505401,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",9.45453440558257,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.0917323689847,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",9.3319980864356,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",8.76126036374926,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",7.73013463454827,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",6.28713462645354,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.83493519704171,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.58102750423019,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.74798517105245,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.26175282737925,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.328221392833117,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.476057139881818,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-1.18274376155637,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-2.09133062330044,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-2.24173413671556,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-2.15189072090271,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",-0.562258247700627,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.36220825788584,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.719013327944,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",6.55831674170348,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",10.4316616754504,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",11.5809214572733,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",9.99999999999995,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",7.64888346267892,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",4.18733984001926,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",2.82265631984303,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",2.72711899439997,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",2.62500456199982,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",2.52299163499992,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.11655757499993,
"GRC","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.01505006249995,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.839855381221963,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.767328292439816,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.5747047605369,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.877524531127868,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-1.14206414824252,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",-0.178343417570478,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.50009794854816,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.0165482169117,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.37588126626357,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.87902633293674,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",8.38257972735255,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",9.09345927189456,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.232199854499,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",10.2536783055692,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",8.01076998621514,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",6.80533787802658,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.05664657324467,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",3.38439474671883,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",2.87482099856026,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.74998783454915,
"IRL","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.7249908766518,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.321309116878507,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.164666655893697,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.187640505964699,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.218742422825333,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.338676419522944,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.677294611401963,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.16907233804535,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.15442626884267,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",3.76543491057994,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",5.96693540236857,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",7.3808669211182,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",8.95672735944257,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.1334182689033,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",8.57426452575028,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.67823942613344,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",5.96881402701243,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.05900101239995,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",3.2897131783999,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.0337921844,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.8294614116,
"ITA","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.67644137973751,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.2682459339568,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.49771915439315,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.931578661505925,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.0947575796442039,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.4413554036622,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.938963300617718,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",3.56315684969643,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.67160407307393,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.73635937175566,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",6.74687779643688,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",9.47191198129904,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",8.92814790084358,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",7.62953654616364,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",5.83317252358797,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",3.31475121391565,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",3.36922421510013,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",3.4143122146706,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",3.46450117009615,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",3.2249451506454,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",3.1124191532507,
"LUX","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",3.02244749626756,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",2.68061525547896,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.35827284901863,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.20952147081459,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.990619526092684,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.895559119871679,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.75528281602969,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",1.79958261969395,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",2.40144060736237,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.33025594930975,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",8.83329516295588,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",10.4413876973875,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",14.1397789275851,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",15.3653382304256,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",12.2457987550691,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",11.1337025825874,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",7.41040611589998,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",3.90565198159997,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",4.36814004680005,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",4.26485638519997,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",4.07885366816007,
"NLD","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",3.92397442163003,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.202864117240647,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.441695155979459,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.234116663049978,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.326905964495352,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.364342951129019,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.146490881647524,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",-0.0947433601604571,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",1.26858285839709,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",2.44918503507454,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",4.39387496141027,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",8.15183573224643,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",9.55244129781912,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",10.9593483887762,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",9.8570648148111,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",7.54974029037955,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",5.60758464291067,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",3.5725056326122,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",2.68712558211405,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",2.47258789024399,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",2.35041490915279,
"PRT","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",2.22835120621996,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",3.12434411518668,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",2.9339290127901,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",1.9921810493043,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",1.53353622034656,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",1.61464916231389,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",1.05854928744004,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.03474259517379,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.40098168857254,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",4.76434047869724,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",8.53943142217025,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",11.706106117346,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",13.2790235587764,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",14.489295775619,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",18.5932056232635,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",16.2236866598872,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",14.5047634890337,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",12.8275545681841,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",6.34728537719395,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",5.48632507154183,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",4.72117064472019,
"SVK","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",3.90468091160517,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",0.555434734457163,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",0.59869682281196,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",-0.635514160237934,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",-0.596958280614947,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",-0.708025478219389,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.430636224599084,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q2",2.26387897751041,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q3",3.4857929633574,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2021-Q4",5.86187900656767,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q1",7.8078202731264,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q2",8.93379429881962,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q3",10.0891447303546,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2022-Q4",7.57495395610234,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q1",6.00948059190395,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q2",4.84891757674079,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q3",3.6433728,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2023-Q4",4.67981007615078,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2024-Q1",5.09356438016056,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2024-Q2",4.67817480146986,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2024-Q3",4.88504866483697,
"ESP","CPIFORECAST","TOT","AGRWTH","Q","2024-Q4",4.46965879246754,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2019-Q4",1.40909525070896,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2020-Q1",1.66347409385661,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2020-Q2",0.657562247061569,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2020-Q3",0.622831878499129,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2020-Q4",0.588918830569769,
"GBR","CPIFORECAST","TOT","AGRWTH","Q","2021-Q1",0.645689152654398,
